98.558001,99.171528,97.2562,101.556939,99.893834,102.015459,102.186739,101.076678,97.419345,96.172913,99.003482,100.501993,100.52192,101.844281,99.474832,99.419851,101.12735,100.704227,97.103628,95.583678,92.455132,94.56464,94.615506,100.07758,99.423095
101.589341,105.760851,108.79309,107.074471,115.944951,113.282206,114.436129,111.73225,113.15872,114.045503,110.671313,112.92289,113.846011,115.609309,114.659949,115.919999,120.525364,120.912643,122.891937,122.963727,121.954174,123.268316,121.865361,122.66346,124.900759
102.185435,103.393619,103.860329,103.952907,104.495537,102.130007,100.850669,101.167088,104.387376,107.544116,107.351135,106.385561,110.397132,112.362935,113.518612,116.344506,117.103203,114.955668,116.79423,118.666912,118.019109,115.601043,116.524902,117.873157,119.868525
102.264242,101.784706,100.513992,100.94199,99.981769,102.362269,99.34007,97.906224,99.771654,98.385743,98.628705,94.649367,93.592614,94.094033,92.76499,91.512797,90.955717,92.213157,91.838698,92.42343,97.342511,99.016493,100.733486,98.46306,94.593897
99.160539,99.005334,98.580022,98.12908,97.301161,96.349726,94.928791,94.189819,89.72893,91.188956,89.561027,89.909722,90.143263,89.431687,89.182893,90.380414,91.774388,94.079838,93.270427,93.600314,94.748906,96.752416,98.521619,98.814158,97.836041
99.442913,104.52155,107.447444,109.684445,110.169707,111.286809,111.290446,111.459646,116.170846,114.19357,113.300253,117.30058,116.571812,117.752776,117.887077,117.550338,115.347634,116.039203,116.247781,120.04815,117.749093,119.026616,123.114751,123.046306,119.979475
102.089587,101.664286,103.29849,103.338225,101.963246,103.763915,103.023701,101.105237,101.321104,102.655532,103.920928,103.454152,104.613696,102.029773,103.966949,99.141103,99.403493,99.222124,98.86181,101.138156,101.585179,100.876372,101.012694,102.82473,101.397223
97.542163,98.125889,97.364071,99.339141,97.158763,98.444059,98.80333,99.193546,106.249958,108.303329,107.61941,105.833135,103.097371,103.121334,106.837488,106.608853,109.922993,110.492015,115.287727,114.4679,111.038885,111.890275,111.867883,109.221393,105.839394
100.534048,100.258272,103.479436,96.358924,92.422573,88.848001,89.179985,87.999881,87.752424,86.278868,87.134813,88.635462,88.966564,88.0774,88.556418,88.980627,88.41431,89.425417,87.9648,86.581965,86.741766,84.877374,82.34858,79.758405,80.434475
96.805883,99.290496,100.9712,102.257816,102.882741,98.15656,98.276697,94.962289,96.136059,95.36124,95.898069,95.171026,93.95479,93.159371,91.854041,95.311118,94.410586,95.025336,96.821314,95.055291,93.913041,93.792828,93.175668,92.438863,92.245053
99.880235,101.351475,103.174303,103.13281,102.571595,101.158922,104.430978,106.408562,108.32768,111.746149,106.844988,104.313603,103.957221,105.582502,104.743453,108.213366,106.992664,107.20102,107.996634,105.835675,108.130917,106.945199,106.402107,110.354846,111.556658
98.852509,98.354462,98.152976,98.309834,98.319024,99.594545,101.75289,100.425754,104.597208,102.65975,102.171705,101.512592,100.639904,99.40851,94.623925,92.311604,93.603249,96.996113,96.880895,95.096311,95.0483,99.067427,97.483468,97.882475,101.88496
100.46177,100.512154,97.594724,97.4713,100.187319,98.204442,99.535735,97.886605,96.330794,91.138714,87.473383,86.081347,86.18081,89.657639,91.426925,90.749245,88.299804,86.97411,86.091628,87.790278,88.804056,87.492489,88.778661,89.150361,87.5663
101.854913,104.221579,102.271798,105.69426,107.06755,104.510625,105.007024,98.884831,100.09993,96.07285,93.518028,95.213969,93.267913,90.948374,88.706052,90.659704,93.376852,100.297243,100.774515,96.520483,96.6352,95.950458,93.777034,94.418416,95.708702
