100.079073,101.249038,95.583678,100.38905
114.061334,112.04213,122.963727,124.870311
101.716707,110.345399,118.666912,120.285176
100.004868,91.996519,92.42343,98.069799
96.289966,92.472186,93.600314,94.821836
112.206442,117.746054,120.04815,118.101226
104.844922,105.360267,101.138156,102.136553
97.515736,103.208597,114.4679,103.398732
89.160714,88.926444,86.581965,80.382045
97.368036,92.634047,95.055291,97.256818
104.442897,103.272097,105.835675,110.169955
102.342686,101.171905,95.096311,100.471412
99.233989,89.517527,87.790278,92.894717
106.120957,90.717714,96.520483,93.337251
96.939618,98.984532,95.791206,98.482944
102.23646,103.886224,108.185812,104.710877
105.134961,97.827585,92.980135,96.575546
101.51058,101.184999,96.887669,97.96363
100.566945,99.806048,94.044888,95.793763
97.348987,97.167868,89.428504,94.47723
104.391118,99.085041,90.566602,86.109227
102.450789,121.749417,120.577127,139.894149
97.119872,104.624905,106.881321,110.075104
90.314576,88.642962,86.107823,86.383527
115.023161,113.414059,117.093745,126.379025
105.51009,102.889454,104.424731,112.378706
103.808355,104.252624,103.790331,101.948668
95.299269,103.085312,106.791284,104.844838
118.366227,111.003946,108.96737,109.210943
89.156407,85.207971,85.816718,84.388721
109.350562,106.821707,101.823769,102.315304
100.263392,109.342847,113.196229,113.950258
99.728859,101.765854,107.519815,95.964381
97.118904,98.457429,96.851105,104.233539
92.676268,87.762768,93.864838,86.125761
105.048484,107.969428,110.214432,115.385595
102.310908,113.372713,111.595028,111.461882
95.519178,102.025527,105.923426,106.86429
110.383752,109.397503,113.003146,108.207258
100.719736,99.881199,101.076702,96.004203
94.892026,94.268758,91.324445,87.392862
92.648374,84.070135,86.341976,85.978585
109.104159,100.205266,110.970622,117.484208
107.512463,107.835455,121.521027,110.555991
98.141885,100.072693,107.476252,111.547852
101.093822,102.180384,104.631983,98.371651
104.681745,108.91056,110.658957,116.194763
108.640912,109.702,110.272881,108.064152
93.250219,91.590896,93.911365,91.974373
94.972617,95.880686,97.145266,105.914212
99.009328,99.087721,90.471188,89.821859
97.522492,90.39914,95.855414,88.683171
96.733792,103.608719,103.036213,102.417317
103.648994,104.908339,99.930437,103.099374
101.971518,107.590036,105.97384,105.714796
102.586361,101.228407,89.956949,96.507465
97.391472,94.224854,87.454233,93.405952
100.291222,103.725217,107.119769,115.826373
105.940332,102.85559,107.197625,101.5334
92.73317,86.2931,86.833929,85.73194
96.983761,89.030219,90.560905,89.363073
101.535297,100.439802,101.094739,107.060393
92.501699,86.073815,86.589596,80.963517
103.748261,98.592994,100.772618,94.314331
102.525115,102.619657,101.611376,102.3114
101.582001,97.956104,97.44497,96.616975
94.146071,99.141438,86.615373,85.049085
99.523314,101.454504,102.774966,107.321755
106.460617,109.930712,106.859457,109.351139
100.757466,98.485383,108.460327,110.785478
94.581835,95.775273,92.951778,96.21479
92.399543,88.892556,90.351638,95.003284
95.652087,92.2276,86.132928,89.619817
95.234393,96.183437,93.564148,83.871682
91.060714,84.078053,82.433152,81.667944
105.040861,98.116844,87.807876,82.654003
99.063981,100.643185,109.079814,108.35601
101.128844,100.929624,103.432453,103.401363
93.042239,88.398088,97.120082,97.306089
102.006946,105.856865,105.156784,107.58613
101.668543,97.650847,98.892157,107.477625
102.592072,102.570641,97.75786,94.141153
110.41066,113.955196,109.549501,110.234593
100.805761,94.630282,84.609181,85.806561
99.989714,101.335014,101.086274,95.090731
104.998687,103.757468,101.509655,97.157583
101.931826,113.07743,98.630698,97.20141
100.537082,108.651645,97.344887,100.477086
106.80154,119.095034,123.616245,110.680395
90.877056,84.543764,92.118787,91.820661
103.775025,99.351407,103.337784,111.472142
100.448413,110.342324,118.601672,118.70272
102.170687,100.714881,100.769988,100.462104
100.513762,97.285246,92.933217,104.323661
101.683843,109.974137,109.756211,115.871322
92.228944,92.766202,91.501887,91.541099
95.97547,105.840174,107.93184,109.44242
97.008961,95.224044,98.911132,91.937534
97.834524,104.920094,101.859799,93.400192
100.873362,109.518395,110.227452,103.380014
103.322545,98.101324,97.498355,101.139999
93.964599,96.906474,94.97208,107.820014
100.024146,91.28507,89.914505,91.349183
98.542693,100.003946,102.976516,103.115188
96.3825,101.234546,100.973382,100.846355
110.756182,128.638419,121.716887,126.051017
89.210233,92.701568,93.92684,98.397799
98.885103,101.245061,98.012258,91.663764
107.73187,109.373868,101.240625,106.61767
114.743762,113.976731,112.176824,116.864627
95.413646,100.872831,92.39035,93.516007
107.599043,105.582221,102.303446,107.836735
101.087507,95.302004,97.201429,96.560709
101.25305,91.302678,92.790151,99.536784
112.942506,116.427252,100.44337,96.043158
98.445611,95.74156,105.061378,118.425709
99.310124,98.437775,89.210348,82.889203
94.321795,93.171077,94.57832,91.947893
